iter	Passed	Remaining
927	20963	3546
928	20983	3523
929	21002	3500
930	21022	3477
931	21044	3454
932	21066	3432
933	21090	3409
934	21109	3386
935	21131	3363
936	21163	3342
937	21193	3321
938	21222	3299
939	21264	3280
940	21320	3262
941	21355	3241
942	21381	3219
943	21406	3197
944	21431	3174
945	21456	3152
946	21483	3130
947	21531	3111
948	21555	3089
949	21578	3066
950	21599	3043
951	21619	3020
952	21639	2997
953	21661	2974
954	21686	2952
955	21712	2929
956	21737	2907
957	21759	2884
958	21787	2862
959	21815	2840
960	21837	2817
961	21857	2794
962	21878	2771
963	21901	2749
964	21921	2726
965	21940	2702
966	21960	2679
967	21984	2657
968	22005	2634
969	22023	2611
970	22047	2588
971	22072	2565
972	22098	2543
973	22121	2521
974	22147	2498
975	22175	2476
976	22205	2454
977	22228	2431
978	22249	2409
979	22269	2386
980	22288	2362
981	22309	2339
982	22328	2316
983	22348	2293
984	22369	2270
985	22390	2248
986	22413	2225
987	22437	2202
988	22459	2180
989	22482	2157
990	22503	2134
991	22522	2111
992	22541	2088
993	22561	2065
994	22581	2042
995	22600	2019
996	22620	1996
997	22642	1973
998	22664	1951
999	22684	1928
1000	22703	1905
1001	22721	1882
1002	22742	1859
1003	22762	1836
1004	22784	1813
1005	22807	1791
1006	22834	1768
1007	22861	1746
1008	22886	1723
1009	22911	1701
1010	22940	1679
1011	22968	1656
1012	22991	1634
1013	23011	1611
1014	23032	1588
1015	23053	1565
1016	23074	1542
1017	23098	1520
1018	23124	1497
1019	23144	1474
1020	23163	1451
1021	23183	1429
1022	23203	1406
1023	23223	1383
1024	23244	1360
1025	23265	1337
1026	23284	1315
1027	23305	1292
1028	23326	1269
1029	23349	1246
1030	23369	1224
1031	23388	1201
1032	23409	1178
1033	23428	1155
1034	23448	1132
1035	23469	1110
1036	23489	1087
1037	23508	1064
1038	23527	1041
1039	23546	1018
1040	23568	996
1041	23587	973
1042	23607	950
1043	23625	927
1044	23644	905
1045	23662	882
1046	23683	859
1047	23703	836
1048	23721	814
1049	23742	791
1050	23760	768
1051	23779	745
1052	23798	723
1053	23818	700
1054	23840	677
1055	23860	655
1056	23881	632
1057	23901	609
1058	23921	587
1059	23944	564
1060	23964	542
1061	23985	519
1062	24005	496
1063	24023	474
1064	24041	451
1065	24061	428
1066	24082	406
1067	24101	383
1068	24122	361
1069	24141	338
1070	24163	315
1071	24185	293
1072	24205	270
1073	24226	248
1074	24246	225
1075	24267	202
1076	24287	180
1077	24305	157
1078	24326	135
1079	24346	112
1080	24365	90
1081	24386	67
1082	24406	45
1083	24429	22
1084	24450	0
